Title,URL,Type,Description,Date
"Chariot Solutions Announces Key Leadership Appointments: Sujan Kapadia Named Chief AI Officer, Rod Biresch Promoted to Director of Engineering",https://chariotsolutions.com/news/post/chariot-solutions-announces-key-leadership-appointments/,News,"FOR IMMEDIATE RELEASE Wyncote, PA — Monday, August 11, 2025 — Chariot Solutions, a leader in software development and innovative technology consulting, is pleased to announce two major leadership appointments designed to drive the company’s next phase of growth and innovation. Sujan Kapadia has been named Chief AI Officer, a newly created role, and Rod … Read More",none
TechChat Tuesdays #18: Dev News with Sujan Kapadia,https://chariotsolutions.com/podcast/techchat-tuesdays-18-dev-news-with-sujan-kapadia/,Podcast,,2020-11-12
15 Minutes With: Sujan Kapadia,https://chariotsolutions.com/blog/post/15-minutes-with-sujan-kapadia/,Blog,"In the first episode of 15 Minutes With, Tracey Welson-Rossman and Sujan Kapadia discuss ideas to help remote teams work more effectively, while focusing on the human side of things.",2020-04-01
TechCast #79 – Chariot’s Sujan Kapadia and Ken Rimple talk about OSCON 2013,https://chariotsolutions.com/podcast/techcast-79-chariots-sujan-kapadia-and-ken-rimple-talk-about-oscon-2013/,Podcast,,2013-07-26
"AI Agents Webinar: Control, Governance, and Accountability",https://chariotsolutions.com/event/ai-agents-webinar-control-governance-and-accountability/,Event,"In this fast-evolving era of generative AI and autonomous agents, organizations face a dual challenge: harnessing the power of intelligent systems while maintaining control, accountability, and trust. This session brings together cybersecurity leadership, AI expertise, and industry experience to explore practical frameworks for governing AI agents, mitigating AI risk, and operationalizing AI with confidence. Our … Read More",none
"Chariot Solutions in 2025: AI, Modernization, and the Evolving Role of Technologists",https://chariotsolutions.com/blog/post/chariot-solutions-in-2025/,Blog,"2025 was a year of acceleration—not just in tools, but in how organizations think about building, shipping, and sustaining software. At Chariot Solutions, our blog reflected the questions we were hearing most often from clients, partners, and the broader technology community: How do we move from experimenting with AI to using it responsibly on a … Read More",2025-12-29
Event Recap: What Does It Mean to Be a Developer in the Age of AI Agents?,https://chariotsolutions.com/blog/post/event-recap-what-does-it-mean-to-be-a-developer-in-the-age-of-ai-agents/,Blog,"What Does It Mean to Be a Developer in the Age of AI Agents? October 15, 2025, Philadelphia, PA At a recent Chariot Solutions panel discussion hosted at Certara (thanks Martin Snyder!), technology leaders gathered to explore one of the most pressing questions facing the software industry today: how is the developer’s role evolving as … Read More",2025-10-17
What Does It Mean to Be a Developer in the Age of AI Agents?,https://chariotsolutions.com/event/what-does-it-mean-to-be-a-developer-in-the-age-of-ai-agents/,Event,"What Does It Mean to Be a Developer in the Age of AI Agents? AI coding agents and IDE-integrated assistants are poised to reshape how we build software. As these tools become more sophisticated and widely adopted, developers and technical leaders face critical questions about the future of the profession. Will AI replace certain types … Read More",none
Adding Conversational AI to Your App — Part 2: Adding Conversation History to the Context,https://chariotsolutions.com/blog/post/adding-conversational-ai-to-your-app-part-2-adding-conversation-history-to-the-context/,Blog,"Tool Limitations In Part 1, we went over converting natural language requests into commands, using LLMs. That’s a nice improvement from having to enter slash commands, but the current tool still has two major limitations: No flexible editing: There’s no way to update or delete an existing item using natural language. When referring to a … Read More",2025-08-26
Adding Conversational AI to Your App — Part 1: Converting Natural Language into JSON Actions,https://chariotsolutions.com/blog/post/adding-conversational-ai-to-your-app-part-1-converting-natural-language-into-json-actions/,Blog,"What We’re Building When I recently paired with Claude Code to build a text-based to-do app (code available on Github, disclaimer: mostly generated by Claude), I wanted to add a simple natural language interface. In this post, we’ll build that feature using TypeScript, Node, and an OpenAI model, without using any special frameworks that might … Read More",2025-08-14
Automate the Boring Stuff with AI,https://chariotsolutions.com/blog/post/automate-the-boring-stuff-with-ai-2/,Blog,"My motivation for creating tools often stems from a desire to get familiar with new technologies. This project was no different; I wanted to deepen my understanding of Generative AI. However, this wasn’t the primary reason for its creation. The real driving force was a persistent gap in my workflow that I couldn’t ignore any … Read More",2025-02-24
Unleashing AI in Marketing: Strategies to Transform Your Business,https://chariotsolutions.com/event/unleashing-ai-in-marketing-strategies-to-transform-your-business/,Event,"Slice Communications and Chariot Solutions Presents Unleashing AI in Marketing: Strategies to Transform Your Business Join us for an insightful webinar exploring how AI can support your marketing strategy. Led by a panel of experts, this session will cover real-world applications, from content creation to inclusive prompt engineering. Attendees will gain actionable insights into leveraging … Read More",none
AMFP Greater Philadelphia Second Annual Healthcare Summit,https://chariotsolutions.com/news/post/amfp_greater_philadelphia_second_annual_healthcare_summit/,News,"Exciting news! Sujan Kapadia, Director of Consulting/Engineering at Chariot Solution, will be speaking at the AMFP Greater Philadelphia Second Annual Healthcare Summit. Wednesday, September 25, 2024 as a part of a panel discussion, Unlocking the Future of Healthcare With AI: A Multi-Disciplinary Approach Sujan will be part of an exceptional lineup of healthcare leaders and … Read More",none
Automate the Boring Stuff with AI,https://chariotsolutions.com/blog/post/automate-the-boring-stuff-with-ai/,Blog,"My motivation for creating tools often stems from a desire to get familiar with new technologies. This project was no different; I wanted to deepen my understanding of Generative AI. However, this wasn’t the primary reason for its creation. The real driving force was a persistent gap in my workflow that I couldn’t ignore any … Read More",2024-06-04
Bridging the Gap: Empowering Healthcare Innovation with Powerful AI Solutions,https://chariotsolutions.com/presentation/bridging-the-gap-empowering-healthcare-innovation-with-powerful-ai-solutions/,Presentation,"Unlocking the Potential of AI in Healthcare Together The healthcare industry faces complex challenges, and Artificial Intelligence (AI) has the potential to revolutionize how we address them. This session brought together both healthcare professionals and software developers that bridge the expertise gap and develop impactful AI solutions. This webinar took place on May 17th … Read More",2024-05-20
Webinar — AI in Healthcare,https://chariotsolutions.com/event/webinar-ai-in-healthcare/,Event,"Women in Healthcare and Chariot Solutions Presents Bridging the Gap: Empowering Healthcare Innovation with Powerful AI Solutions Unlocking the Potential of AI in Healthcare Together The healthcare industry faces complex challenges, and Artificial Intelligence (AI) has the potential to revolutionize how we address them. This session brings together both healthcare professionals and software … Read More",none
Strategies for Addressing Tech Debt,https://chariotsolutions.com/blog/post/strategies-for-addressing-tech-debt/,Blog,"Ignoring tech debt because it’s expensive doesn’t make the problem go away — it only kicks the can down the road. Businesses should approach technical debt as a routine, scheduled part of their development process.",2024-04-11
TechChat Tuesdays #62: Spring Boot 3.1.0 with DaShaun Carter,https://chariotsolutions.com/podcast/techchat-tuesdays-62-spring-boot-3-1-0-with-dashaun-carter/,Podcast,,2023-06-07
"TechChat Tuesdays #59: Project Valhalla, Sandpack 2.0, and Developing Cross-Platform Apps",https://chariotsolutions.com/podcast/techchat-tuesdays-59-project-valhalla-sandpack-2-0-and-developing-cross-platform-apps/,Podcast,,2023-02-21
"TechChat Tuesdays #56: The ‘cloudy layers’ of modern programming, context switching, and scaling Mastodon",https://chariotsolutions.com/podcast/techchat-tuesdays-56-the-cloudy-layers-of-modern-programming-context-switching-and-scaling-mastodon/,Podcast,,2023-01-03
"TechChat Tuesdays #53: Boycotting Wayland, and banishing the leap second",https://chariotsolutions.com/podcast/techchat-tuesdays-53-boycotting-wayland-and-banishing-the-leap-second/,Podcast,,2022-07-27
A Look Back to Philly ETE 2022,https://chariotsolutions.com/blog/post/a-look-back-to-philly-ete-2022/,Blog,"A killer keynote by Cory Doctorow, a lively audience, and lots of new tech: here’s what our team enjoyed most about Philly ETE 2022.",2022-05-04
TechChat Tuesdays #47: Dev News Ultra,https://chariotsolutions.com/podcast/techchat-tuesdays-47-dev-news-ultra/,Podcast,,2022-03-15
TechChat Tuesdays #46: Dev News and Kotlin Deep Dive,https://chariotsolutions.com/podcast/techchat-tuesdays-46-dev-news-and-kotlin-deep-dive/,Podcast,,2022-03-01
TechChat Tuesdays #45: How do we learn new things?,https://chariotsolutions.com/podcast/techchat-tuesdays-45-how-do-we-learn-new-things/,Podcast,,2022-02-15
TechChat Tuesdays #44 – Dev News Grab Bag,https://chariotsolutions.com/podcast/techchat-tuesdays-44-dev-news-grab-bag/,Podcast,,2022-02-01
"TechChat Tuesdays #43: Dev News, SPA Patterns, and an Exclusive Interview with Kent C. Dodds",https://chariotsolutions.com/podcast/techchat-tuesdays-43-dev-news-spa-patterns-and-an-exclusive-interview-with-kent-c-dodds/,Podcast,,2022-01-13
"TechChat Tuesdays #41: Tetris in ClojureScript, Terraform 1.0, and Slack hackers",https://chariotsolutions.com/podcast/techchat-tuesdays-41-tetris-in-clojurescript-terraform-1-0-and-slack-hackers/,Podcast,,2021-06-18
A Look Back to ETE 2021,https://chariotsolutions.com/blog/post/a-look-back-to-ete-2021/,Blog,"Reflecting on another successful year of Philly ETE: the logistics, the community, and the unexpected benefits of being virtual.",2021-06-08
Another Perspective on Remote Work,https://chariotsolutions.com/blog/post/another-perspective-on-remote-work/,Blog,"At Chariot, we know that having flexibility for our consultants in terms of where they work is good for our business and our clients.",2021-06-03
"TechChat Tuesdays #40: Chip Shortages, SolarWinds Hackers, and a Google I/O Recap",https://chariotsolutions.com/podcast/techchat-tuesdays-40-chip-shortages-solarwinds-hackers-and-a-google-i-o-recap/,Podcast,,2021-06-03
"TechChat Tuesdays #39: Scala 3, Pair Programming, and a Rekindled Windows/Apple Rivalry",https://chariotsolutions.com/podcast/techchat-tuesdays-39-scala-3-pair-programming-and-a-rekindled-windows-apple-rivalry/,Podcast,,2021-05-20
"TechChat Tuesdays #38: Apple’s ‘Spring Loaded’ Recap, and more!",https://chariotsolutions.com/podcast/techchat-tuesdays-38-apples-spring-loaded-recap-and-more/,Podcast,,2021-04-29
"TechChat Tuesdays #37: OpenSearch, Rust News, and the “Rails of React”",https://chariotsolutions.com/podcast/techchat-tuesdays-37-opensearch-rust-rails-of-react/,Podcast,,2021-04-15
"TechChat Tuesdays #36: Django 3.2, TP Robots, and New Jersey?",https://chariotsolutions.com/podcast/techchat-tuesdays-36-django-3-2-tp-robots-and-new-jersey/,Podcast,,2021-04-08
"TechChat Tuesdays #35: Nivo, DALL-E and NPM Vulnerabilities",https://chariotsolutions.com/podcast/techchat-tuesdays-35-nivo-dall-e-npm-vulnerabilities/,Podcast,,2021-04-01
"TechChat Tuesdays #34: JDK, NFTs, and ERC-721",https://chariotsolutions.com/podcast/techchat-tuesdays-34-jdk-nfts-and-erc-721/,Podcast,Podcast (techcast): Play in new window | Download (Duration: 30:33 — 24.9MB) | Embed,2021-03-26
"TechChat Tuesdays #33: Rust, Rust-based Utilities, and Security with Jason Stelzer",https://chariotsolutions.com/podcast/techchat-tuesdays-33-rust-rust-based-utilities-and-security-with-jason-stelzer/,Podcast,,2021-03-18
"TechChat Tuesdays #32: Git for Data, and ASCIIDoctor Tooling with Ken",https://chariotsolutions.com/podcast/techchat-tuesdays-32-git-data-asciidoctor-tooling/,Podcast,,2021-03-11
"TechChat Tuesdays #31: Python Turns 30, and Chrome 90 is on the horizon…",https://chariotsolutions.com/podcast/techchat-tuesdays-31-this-week-in-dev-news/,Podcast,,2021-03-04
"TechChat Tuesdays #30: The Mars Landing, and more",https://chariotsolutions.com/podcast/techchat-tuesdays-30-the-mars-landing-and-more/,Podcast,,2021-02-25
"TechChat Tuesdays #29: Rust, Radical Candor, and more",https://chariotsolutions.com/podcast/techchat-tuesdays-29-rust-radical-candor/,Podcast,,2021-02-19
TechChat Tuesdays #28: TensorFlow with Rich Freedman,https://chariotsolutions.com/podcast/techchat-tuesdays-28-tensorflow-rich-freedman/,Podcast,,2021-02-11
TechChat Tuesdays #27: This Week in Dev News,https://chariotsolutions.com/podcast/techchat-tuesdays-27-this-week-in-dev-news/,Podcast,,2021-02-04
TechChat Tuesdays #26: Android Development with Joe Berger,https://chariotsolutions.com/podcast/techchat-tuesdays-26-android-development-with-joe-berger/,Podcast,,2021-01-20
TechChat Tuesdays #25: This Week in Dev News,https://chariotsolutions.com/podcast/techchat-tuesdays-25-this-week-in-dev-news/,Podcast,,2021-01-07
TechChat Tuesdays #24: This Week in Dev News,https://chariotsolutions.com/podcast/techchat-tuesdays-24-this-week-in-dev-news/,Podcast,,2020-12-24
TechChat Tuesdays #23: This Week in Dev News,https://chariotsolutions.com/podcast/techchat-tuesdays-23-this-week-in-devnews/,Podcast,,2020-12-17
TechChat Tuesdays #22: AWS re:Invent Happenings,https://chariotsolutions.com/podcast/techchat-tuesdays-22-aws-reinvent-announcements-news/,Podcast,,2020-12-09
"TechChat Tuesdays #21: Post-Mortem Review of the AWS Outage with Keith Gregory, AWS Practice Lead",https://chariotsolutions.com/podcast/techchat-tuesdays-21-post-mortem-review-of-the-aws-outage-with-keith-gregory-aws-practice-lead/,Podcast,,2020-12-02
TechChat Tuesdays #20: From There To Here,https://chariotsolutions.com/podcast/techchat-tuesdays-20-from-there-to-here/,Podcast,,2020-11-25
"TechChat Tuesdays #19: Special Guest, Eric Snyder",https://chariotsolutions.com/podcast/techchat-tuesdays-19-special-guest-eric-snyder/,Podcast,,2020-11-20
Discussion on the Future of Tech in 2020 and Beyond by the Chariot Solutions Team,https://chariotsolutions.com/blog/post/discussion-on-the-future-of-tech-in-2020-and-beyond-by-the-chariot-solutions-team/,Blog,This panel is a look into what tools and tech our talented team is thinking about in 2020 and beyond.,2020-02-05
What is on our Tech Radar for 2019?,https://chariotsolutions.com/blog/post/what-is-on-our-tech-radar-for-2019/,Blog,"With 2019 officially kicking into gear, we decided to check in with a few members of the Chariot team who’ve revealed some of the technologies they will be looking forward to working with, or paying attention to, in 2019.",2019-01-03
ETE Screencast Night,https://chariotsolutions.com/event/video-watching-meetup/,Event,"Location: Chariot Solutions 515 Pennsylvania Avenue Fort Washington, PA 19034 Date & Time: October 26 at 6:30 pm Description Missed ETE last year? Can’t wait for next year’s Philly ETE conference? Neither can we! So one of our engineers, Sujan, thought it’d be great to spend an evening watching talks from last year’s ETE Come … Read More",none
Intro to Scala – Fear No More,https://chariotsolutions.com/event/intro-scala-fear-no/,Event,"Trainer: Sujan Kapadia, Technology Architect @ Chariot Solutions Location: Work-Bench 110 Fifth Avenue, Fifth Floor New York, New York 10011 Price: $100 Number of seats: 26 Date & Time: July 20, 2016 from 10:00am – 2:30pm Snacks and lunch provided Register Today! Workshop description You’ve likely heard about Scala already. Maybe some even tried it … Read More",none
TechCast #99 – James Roper on Scala,https://chariotsolutions.com/podcast/techcast-99-james-roper-scala/,Podcast,,2016-04-27
TechCast #98 – Adriaan Moors on Scala,https://chariotsolutions.com/podcast/techcast-98-adriaan-moors-scala/,Podcast,,2016-04-26
TechCast #97 – Heather Miller on Scala,https://chariotsolutions.com/podcast/techcast-97-heather-miller-scala/,Podcast,,2016-04-21
Intro to Scala at Philly Tech Week,https://chariotsolutions.com/event/intro-scala-philly-tech-week/,Event,You’ve likely heard about Scala already. Maybe some even tried it out and decided it wasn’t for them. Others may have stumbled upon blogs discussing highly abstract topics and ran screaming the other way. It doesn’t have to be that way. This workshop will be a gentle introduction to Scala where we’ll progress through a series of exploratory exercises.,none
TechCast #96 – Philly ETE Happy Hour Chat,https://chariotsolutions.com/podcast/techcast-96-philly-ete-happy-hour-chat/,Podcast,,2016-04-18
TechCast #95 – Doc Norton on Agile Metrics – “Velocity is Not the Goal”,https://chariotsolutions.com/podcast/techcast-95-doc-norton-agile-metrics-velocity-not-goal/,Podcast,,2016-04-09
TechCast #94 – Luke Wagner on WebAssembly,https://chariotsolutions.com/podcast/techcast-94-luke-wagner-webassembly/,Podcast,,2016-04-07
TechCast #93 – Ari Lerner on Angular 2,https://chariotsolutions.com/podcast/techcast-93-ari-lerner-angular-2/,Podcast,,2016-03-25
"DevNews #102 – TACO, terrible testing, and party comets",https://chariotsolutions.com/podcast/devnews-102-taco-terrible-testing-party-comets/,Podcast,,2015-11-13
DevNews #97 – Day 1 of Philly ETE 2015,https://chariotsolutions.com/podcast/devnews-97-day-1-philly-ete-2015/,Podcast,,2015-04-10
Converting a Java Spring application to Scala,https://chariotsolutions.com/blog/post/converting-java-spring-to-scala/,Blog,Supposedly Scala requires a completely different programming style. But what happens when you just want a Spring application? Is it possible to program in Scala without jumping in the deep end? Chariot’s John Shepard illustrates the difference in approach in this quick tutorial.,2014-08-15
DevNews 85 – We record ourselves in front of a large ETE audience and news ensues,https://chariotsolutions.com/podcast/devnews-85-record-front-large-ete-audience-news-ensues/,Podcast,,2014-04-24
"DevNews #76 – HAML-esque JS templates, a monitor for $400, what’s the world coming to?",https://chariotsolutions.com/podcast/devnews-76-haml-esque-js-templates-monitor-400-whats-world-coming/,Podcast,,2014-01-20
DevNews #70 – Droids and flying robots taking over the world and Scala.JS,https://chariotsolutions.com/podcast/devnews-70-droids-and-flying-robots-taking-over-the-world-and-scala-js/,Podcast,,2013-12-02
The DataPhilly Meetups,https://chariotsolutions.com/blog/post/the-dataphilly-meetups/,Blog,"Sujan Kapadia writes: “This year I’ve started going to the DataPhilly meetups, and I think I’m hooked. The bottom line is DataPhilly talks are very intriguing, expose you to topics you don’t encounter everyday, and give you the chance to meet “non-traditional” developers (scientists and statisticians), whose ranks are rapidly growing.”",2013-11-19
DevNews #65 – Apple’s patent for touching glass with fingers is upheld?,https://chariotsolutions.com/podcast/devnews-65-apples-patent-for-touching-glass-with-fingers-is-upheld/,Podcast,,2013-10-23
DevNews #60 – Somebody buy Joel a Furby,https://chariotsolutions.com/podcast/devnews-60-somebody-buy-joel-a-furby/,Podcast,,2013-09-17
DevNews #58 – The London Eye – of Sauron,https://chariotsolutions.com/podcast/devnews-58-the-london-eye-of-sauron/,Podcast,,2013-09-03
Simply explained: Akka Streams Backpressure,https://chariotsolutions.com/blog/post/simply-explained-akka-streams-backpressure/,Blog,Visual explanation of backpressure in Akka Streams using a simple producer-consumer example,2016-08-02
